NAME_ZM,URL_PATH
Acapulco,https://github.com/fdealbam/0entrada/blob/66e504acbe071a4dab140c4d6d9e334a1fda9b56/application/static/mapas/map_Acapulco.png
Acayucan,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Acayucan.png
Aguascalientes,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Aguascalientes.png
Campeche,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Campeche.png
Cancún,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Canc%C3%BAn.png
Celaya,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Celaya.png
Chetumal,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Chetumal.png
Chihuahua,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Chihuahua.png
Chilpancingo,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Chilpancingo.png
Ciudad Victoria,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Ciudad%20Victoria.png
Coatzacoalcos,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Coatzacoalcos.png
Colima-Villa de álvarez,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Colima-Villa%20de%20%C3%A1lvarez.png
Cuautla,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Cuautla.png
Cuernavaca,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Cuernavaca.png
Culiacán,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Culiac%C3%A1n.png
Córdoba,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_C%C3%B3rdoba.png
Delicias,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Delicias.png
Durango,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Durango.png
Ensenada,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Ensenada.png
Guadalajara,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Guadalajara.png
Guanajuato,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Guanajuato.png
Guaymas,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Guaymas.png
Hermosillo,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Hermosillo.png
Hidalgo del Parral,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Hidalgo%20del%20Parral.png
Juárez,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Ju%C3%A1rez.png
La Laguna,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_La%20Laguna.png
La Paz,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_La%20Paz.png
La Piedad-Pénjamo,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_La%20Piedad-P%C3%A9njamo.png
León,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Le%C3%B3n.png
Matamoros,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Matamoros.png
Mazatlán,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Mazatl%C3%A1n.png
Mexicali,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Mexicali.png
Minatitlán,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Minatitl%C3%A1n.png
Monclova-Frontera,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Monclova-Frontera.png
Monterrey,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Monterrey.png
Morelia,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Morelia.png
Moroleón-Uriangato,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Morole%C3%B3n-Uriangato.png
Mérida,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_M%C3%A9rida.png
Nogales,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Nogales.png
Nuevo Laredo,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Nuevo%20Laredo.png
Oaxaca,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Oaxaca.png
Ocotlán,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Ocotl%C3%A1n.png
Orizaba,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Orizaba.png
Pachuca,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Pachuca.png
Piedras Negras,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Piedras%20Negras.png
Poza Rica,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Poza%20Rica.png
Puebla-Tlaxcala,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Puebla-Tlaxcala.png
Puerto Vallarta,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Puerto%20Vallarta.png
Querétaro,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Quer%C3%A9taro.png
Reynosa,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Reynosa.png
Rioverde,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Rioverde.png
Saltillo,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Saltillo.png
San Francisco del Rincón,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_San%20Francisco%20del%20Rinc%C3%B3n.png
San Luis Potosí,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_San%20Luis%20Potos%C3%AD.png
Tampico,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tampico.png
Tapachula,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tapachula.png
Tecomán,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tecom%C3%A1n.png
Tehuacán,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tehuac%C3%A1n.png
Tehuantepec,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tehuantepec.png
Tepic,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tepic.png
Teziutlán,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Teziutl%C3%A1n.png
Tianguistenco,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tianguistenco.png
Tijuana,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tijuana.png
Tlaxcala-Apizaco,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tlaxcala-Apizaco.png
Toluca,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Toluca.png
Tula,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tula.png
Tulancingo,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tulancingo.png
Tuxtla Gutiérrez,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tuxtla%20Guti%C3%A9rrez.png
Valle de México,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Valle%20de%20M%C3%A9xico.png
Veracruz,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Veracruz.png
Villahermosa,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Villahermosa.png
Xalapa,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Xalapa.png
Zacatecas-Guadalupe,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Zacatecas-Guadalupe.png
Zamora,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Zamora.png
